highway,osmid,x,y,geometry,elevation
,2247762396,-117.70836399999999,34.106161799999995,POINT (-117.708364 34.1061618),394.1473999023438
,2247762398,-117.7085847,34.1061645,POINT (-117.7085847 34.1061645),393.6804504394531
,5258514911,-117.7045047,34.103715799999996,POINT (-117.7045047 34.1037158),390.1361694335938
,2247762400,-117.70879380000001,34.1061671,POINT (-117.7087938 34.1061671),393.8039855957031
,5258514912,-117.7053275,34.1037919,POINT (-117.7053275 34.1037919),390.1762390136719
,2247762402,-117.7090477,34.106170299999995,POINT (-117.7090477 34.1061703),393.7824401855469
,5258514915,-117.7045013,34.103781899999994,POINT (-117.7045013 34.1037819),390.2529602050781
,5265123812,-117.71280490000001,34.110425,POINT (-117.7128049 34.110425),403.5958557128906
,2247762404,-117.709157,34.1061716,POINT (-117.709157 34.1061716),393.6786193847656
,2247762406,-117.7097223,34.106190600000005,POINT (-117.7097223 34.1061906),393.0828247070312
