y_start,y_end,x_start,x_end,highway,oneway,edge_index
-117.7121301,-117.7116406,34.1043997,34.1043978,residential,False,103
-117.7121301,-117.7121321,34.1043997,34.1043027,service,True,104
-117.7121321,-117.7116406,34.1043027,34.1042994,service,True,104
-117.7116406,-117.7116406,34.1042994,34.1043978,service,True,104
-117.7121301,-117.7131923,34.1043997,34.1044037,residential,False,105
-117.7131915,-117.7131923,34.104242,34.1044037,residential,False,106
-117.7131915,-117.7131906,34.104242,34.1040766,residential,False,107
-117.7116406,-117.711504,34.1043978,34.1043973,residential,False,108
-117.7116406,-117.7121301,34.1043978,34.1043997,residential,False,109
-117.7076084,-117.7073785,34.102124,34.1021212,footway,False,110
-117.7076084,-117.7076098,34.102124,34.1020276,footway,False,111
-117.7076084,-117.7076295,34.102124,34.1021242,footway,False,112
-117.7076295,-117.7076282,34.1021242,34.1021519,footway,False,112
-117.7076282,-117.7079339,34.1021519,34.1021544,footway,False,112
-117.7076098,-117.7076084,34.1020276,34.102124,footway,False,113
-117.7076098,-117.7076313,34.1020276,34.1020278,footway,False,114
-117.7076313,-117.7076313,34.1020278,34.1020056,footway,False,114
-117.7076313,-117.7079353,34.1020056,34.1020087,footway,False,114
-117.7076098,-117.7074086,34.1020276,34.1020256,footway,False,115
-117.7074086,-117.7074086,34.1020256,34.1020478,footway,False,115
-117.7074086,-117.707379,34.1020478,34.1020479,footway,False,115
-117.7071686,-117.707379,34.1020488,34.1020479,footway,False,116
-117.7071686,-117.7071605,34.1020488,34.1020364,footway,False,117
-117.7071686,-117.7071672,34.1020488,34.1021017,footway,False,118
-117.7071375,-117.7071383,34.1017789,34.10151,footway,False,119
-117.7071375,-117.7071349,34.1017789,34.1019971,footway,False,120
-117.7071349,-117.7071605,34.1019971,34.1020364,footway,False,120
-117.7071375,-117.7072651,34.1017789,34.1017757,footway,False,121
-117.7072651,-117.7072651,34.1017757,34.1018568,footway,False,121
-117.7072651,-117.7072651,34.1018568,34.1017757,footway,False,122
-117.7072651,-117.7071375,34.1017757,34.1017789,footway,False,122
-117.708051,-117.7080667,34.1015847,34.1014556,footway,False,123
-117.7080667,-117.7080724,34.1014556,34.1013889,footway,False,123
-117.7080724,-117.7080743,34.1013889,34.1013096,footway,False,123
-117.7080743,-117.7080781,34.1013096,34.1009601,footway,False,123
-117.7080819,-117.7080781,34.1008463,34.1009601,footway,False,124
-117.7080819,-117.7080809,34.1008463,34.1006005,footway,False,125
-117.7080819,-117.7085754,34.1008463,34.1008463,footway,False,126
-117.7085754,-117.7087797,34.1008463,34.1006324,footway,False,127
-117.7085754,-117.708588,34.1008463,34.0999111,footway,False,128
-117.7085754,-117.7080819,34.1008463,34.1008463,footway,False,129
